Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
117,"In this
section, we discuss a number of directions of further study.","In light of the complete theory (for ﬁnitely supported functions)
that is available in one dimension (established in [19]), there is much to be learned and many open
questions remain concerning the convolution powers of complex-valued function on Zd for d > 1.","To preface this discussion, we ﬁrst outline
another class of functions on Zd for which it is possible to prove local limit theorems.",2022-01-04 19:10:03+00:00,Local Limit Theorems for Complex Functions on $\mathbb{Z}^d$,math.CA,"['math.CA', 'Primary 42A85, Secondary 60F99 & 42B20']",[arxiv.Result.Author('Evan Randles')],"The local (central) limit theorem precisely describes the behavior of
iterated convolution powers of a probability distribution on the
$d$-dimensional integer lattice, $\mathbb{Z}^d$. Under certain mild assumptions
on the distribution, the theorem says that the convolution powers are
well-approximated by a single scaled Gaussian density which we call an
attractor. When such distributions are allowed to take on complex values, their
convolution powers exhibit new and disparate behaviors not seen in the
probabilistic setting. Following works of I. J. Schoenberg, T. N. E. Greville,
P. Diaconis, and L. Saloff-Coste, the author and L. Saloff-Coste provided a
complete description of local limit theorems for the class of finitely
supported complex-valued functions on $\mathbb{Z}$. For convolution powers of
complex-valued functions on $\mathbb{Z}^d$, much less is known. In a previous
work by the author and L. Saloff-Coste, local limit theorems were established
for complex-valued functions whose Fourier transform is maximized in absolute
value at so-called points of positive homogeneous type and, in that case, the
resultant attractors are generalized heat kernels corresponding to a class of
higher order partial differential operators. By considering the possibility
that the Fourier transform can be maximized in absolute value at points of
imaginary homogeneous type, this article extends previous work of the author
and L. Saloff-Coste to broaden the class of complex-valued functions for which
it is possible to obtain local limit theorems. These local limit theorems
contain attractors given by certain oscillatory integrals and their convergence
is established using a generalized polar-coordinate integration formula, due to
H. Bui and the author, and the Van der Corput lemma. The article also extends
recent results on sup-norm type estimates of H. Bui and the author.",-0.076781444,-0.36319286,0.2044929,C_centroid
118,"Another direction of further research involves the condition µ < 1 appearing in Theorem 1.9, Theorem
2.4, and Theorem 3.8.","The author suspects that the one-dimensional
problem is tractable in light of the methods of [19] and [5]; however, a more robust analysis of the
oscillatory integrals considered in this article would likely be needed to handle the case in which d > 1.","For a local limit theorem to be valid for φ where Ω(φ) contains a point of
imaginary homogeneous type for φ, this condition is not necessary.",2022-01-04 19:10:03+00:00,Local Limit Theorems for Complex Functions on $\mathbb{Z}^d$,math.CA,"['math.CA', 'Primary 42A85, Secondary 60F99 & 42B20']",[arxiv.Result.Author('Evan Randles')],"The local (central) limit theorem precisely describes the behavior of
iterated convolution powers of a probability distribution on the
$d$-dimensional integer lattice, $\mathbb{Z}^d$. Under certain mild assumptions
on the distribution, the theorem says that the convolution powers are
well-approximated by a single scaled Gaussian density which we call an
attractor. When such distributions are allowed to take on complex values, their
convolution powers exhibit new and disparate behaviors not seen in the
probabilistic setting. Following works of I. J. Schoenberg, T. N. E. Greville,
P. Diaconis, and L. Saloff-Coste, the author and L. Saloff-Coste provided a
complete description of local limit theorems for the class of finitely
supported complex-valued functions on $\mathbb{Z}$. For convolution powers of
complex-valued functions on $\mathbb{Z}^d$, much less is known. In a previous
work by the author and L. Saloff-Coste, local limit theorems were established
for complex-valued functions whose Fourier transform is maximized in absolute
value at so-called points of positive homogeneous type and, in that case, the
resultant attractors are generalized heat kernels corresponding to a class of
higher order partial differential operators. By considering the possibility
that the Fourier transform can be maximized in absolute value at points of
imaginary homogeneous type, this article extends previous work of the author
and L. Saloff-Coste to broaden the class of complex-valued functions for which
it is possible to obtain local limit theorems. These local limit theorems
contain attractors given by certain oscillatory integrals and their convergence
is established using a generalized polar-coordinate integration formula, due to
H. Bui and the author, and the Van der Corput lemma. The article also extends
recent results on sup-norm type estimates of H. Bui and the author.",-0.09193144,-0.26417926,-0.030840136,C
378,"We now focus on the case when f (z) = g(z) and will further study the
condition f (ax + b) = f (x).","z−a      z−b
Moreover we will show that it is ω-categorical.","Recall that f (z) is such that zz′′′ = f (z) is
strongly minimal.",2022-01-11 08:44:22+00:00,On the equations of Poizat and Liénard,math.CA,"['math.CA', 'math.AG', 'math.LO', '34M15, 12H05, 03C60']","[arxiv.Result.Author('James Freitag'), arxiv.Result.Author('Rémi Jaoui'), arxiv.Result.Author('David Marker'), arxiv.Result.Author('Joel Nagloo')]","We study the structure of the solution sets in universal differential fields
of certain differential equations of order two, the Poizat equations, which are
particular cases of Li\'enard equations. We give a necessary and sufficient
condition for strong minimality for equations in this class and a complete
classification of the algebraic relations for solutions of strongly minimal
Poizat equations. We also give an analysis of the non strongly minimal cases as
well as applications concerning the Liouvillian and Pfaffian solutions of some
Li\'enard equations.",-0.20613736,-0.22161505,-0.16024515,B
564,"Although, this subject is not dealt in this
manuscript and attracts further research.","This observation raises a question that what assumptions on µk’s and
νk’s to be made such that the co-modiﬁed (or co-dilated) RI polynomials do show some
interlacing with the unperturbed polynomials.",4.,2022-01-14 12:45:33+00:00,Rational spectral transformation of continued fractions associated to a perturbed $R_I$ type recurrence relations,math.CA,"['math.CA', '42C05']","[arxiv.Result.Author('Vinay Shukla'), arxiv.Result.Author('A. Swaminathan')]","n this work, orthogonal polynomials satisfying recurrence relation
$\mc{P}_{n+1}(z) = (z-c_n)\mc{P}_n(z)-\lambda_n (z-a_n)\mc{P}_{n-1}(z),$ with
$\mc{P}_{-1}(z) = 0$ and $\mc{P}_0(z) = 1$ are analyzed when modifications of
the recurrence coefficient is considered. Specifically, representation of new
perturbed polynomials in terms of old unperturbed ones, behaviour of zeros and
spectral transformation of Stieltjes function are given. Further, Toda lattice
equations corresponding to perturbed system of recurrence coefficients are
obtained. Finally, when $\lambda_n$ is a positive chain sequence, co-dilation
and its consequences are interpreted with the help of some illustrations.",-0.19990948,-0.17239441,0.09142577,C
855,"Finally, Section 5 is reserved for some open questions we hope can
be a source of inspiration for further research in this interesting area.","In order not to disturb our
discussions later on some deﬁnitions and notations are given in Section
4.",2.,2022-01-21 00:19:40+00:00,Some new results for subsequences of Nörlund logarithmic means of Walsh-Fourier series,math.CA,"['math.CA', 'math.AP', '42C10']","[arxiv.Result.Author('D. Baramidze'), arxiv.Result.Author('L. -E. Persson'), arxiv.Result.Author('H. Singh'), arxiv.Result.Author('G. Tephnadze')]","We prove that there exists a martingale $f\in H_p $ such that the subsequence
$\{L_{2^n}f \}$ of N\""orlund logarithmic means with respect to the Walsh system
are not bounded in the Lebesgue space $weak-L_p $ for $0<p<1 $. Moreover, we
prove that for any $f\in L_p(G),$ $p\geq 1, $ $L_{2^n}f$ converge to $f$ at any
Lebesgue point $x$. Some new related inequalities are derived.",-0.05452247,0.084032856,0.17542765,C
1832,"We

also refer to [17] for a further study in the homogeneous situation, while dropping the condition

of the convergence of the initial data.","After the seminal work [2], the second author gave answer to the problem of analyticity of such

problems [16], via splitting of the characteristic equation with respect to one of its variables.","Further knowledge on the solutions to moment partial

diﬀerential equations with constant coeﬃcients is given in [18] to study the growth properties and

summability of the formal solutions.",2022-02-11 00:21:39+00:00,Multisummability of formal solutions for a family of generalized singularly perturbed moment differential equations,math.CA,"['math.CA', 'math.CV', '34K26, 34K41, 34E10, 34M30']","[arxiv.Result.Author('Alberto Lastra'), arxiv.Result.Author('Sławomir Michalik'), arxiv.Result.Author('Maria Suwińska')]","The notion of moment differentiation is extended to the set of generalized
multisums of formal power series via an appropriate integral representation and
accurate estimates of the moment derivatives. The main result is applied to
characterize generalized multisummability of the formal solution to a family of
singularly perturbed moment differential equations in the complex domain,
broadening widely the range of singularly perturbed functional equations to be
considered in practice, such as singularly perturbed differential equations and
singularly perturbed fractional differential equations.",-0.025567014,-0.17703754,-0.19741634,C
2026,"19
    A more general treatment of eigenfunction expansions for the Dirichlet
Laplacian in arbitrary triangular domains requires further research.","5,(b)).","Acknowledgments

I owe a special thanks to my doctoral advisor, Prof James C. Robinson, for
many insightful discussions and his helpful criticism of early drafts.",2022-02-15 18:40:08+00:00,The $L^p$ convergence of Fourier series on triangular domains,math.CA,"['math.CA', 'math.AP', 'math.FA', '42B08 (Primary) 42B05, 34L10, 35P10, 42A10 (Secondary)']",[arxiv.Result.Author('Ryan Luis Acosta Babb')],"We prove $L^p$ norm convergence for (appropriate truncations of) the Fourier
series arising from the Dirichlet Laplacian eigenfunctions on three types of
triangular domains in $\mathbb{R}^2$: (i) the 45-90-45 triangle, (ii) the
equilateral triangle and (iii) the hemiequilateral triangle (i.e. half an
equilateral triangle cut along its height). The limitations of our argument to
these three types are discussed in light of Lam\'e's Theorem.",-0.022692543,-0.13222271,0.08460398,C
2725,"• Last, but deﬁnitely not least, we have a set of curious examples in Section 8, whose exami-
  nation poses several interesting questions and suggests possible lines of further research.","• Since third order linear diﬀerential equations associated to the multiple orthogonal polyno-
  mials are well known in the literature, we have included in Section 7 their derivation from
  the system of second order ODE described in Theorem 5.2.",2.,2022-03-02 21:19:29+00:00,Electrostatic partners and zeros of orthogonal and multiple orthogonal polynomials,math.CA,"['math.CA', '42C05, 30C15, 31A15, 33C45, 33C47']","[arxiv.Result.Author('Andrei Martínez-Finkelshtein'), arxiv.Result.Author('Ramón Orive'), arxiv.Result.Author('Joaquín Sánchez-Lara')]","For a given polynomial $P$ with simple zeros, and a given semiclassical
weight $w$, we present a construction that yields a linear second-order
differential equation (ODE), and in consequence, an electrostatic model for
zeros of $P$. The coefficients of this ODE are written in terms of a dual
polynomial that we call the electrostatic partner of $P$. This construction is
absolutely general and can be carried out for any polynomial with simple zeros
and any semiclassical weight on the complex plane. An additional assumption of
quasi-orthogonality of $P$ with respect to $w$ allows us to give more precise
bounds on the degree of the electrostatic partner. In the case of orthogonal
and quasi-orthogonal polynomials, we recover some of the known results and
generalize others. Additionally, for the Hermite--Pad\'e or multiple orthogonal
polynomials of type II, this approach yields a system of linear second-order
differential equations, from which we derive an electrostatic interpretation of
their zeros in terms of a vector equilibrium. More detailed results are
obtained in the special cases of Angelesco, Nikishin, and generalized Nikishin
systems. We also discuss the discrete-to-continuous transition of these models
in the asymptotic regime, as the number of zeros tends to infinity, into the
known vector equilibrium problems. Finally, we discuss how the system of
obtained second-order ODEs yields a third-order differential equation for these
polynomials, well described in the literature. We finish the paper by
presenting several illustrative examples.",0.033692706,-0.012117591,-0.2238791,A
3650,"It is
the rise of these applications that give new vitality to the ﬁeld of fractional calculus and fractional
diﬀerential equations and call for further research in this ﬁeld.","In addition to true mathematical interest and curiosity, this trend is also driven
by interesting scientiﬁc and engineering applications that have produced fractional diﬀerential equa-
tion models to better describe (time) memory eﬀects and (space) non-local phenomena [8–13].","On the other hand, recently, based on the concept of fractional derivative of Riemann−Liouville
on time scales [14], the authors of [7] established the fractional Sobolev space on time scales.",2022-03-12 08:32:16+00:00,Left fractional Sobolev space via Riemann$-$Liouville derivatives on time scales and its application to a fractional boundary value problem on time scales,math.CA,"['math.CA', 'math.FA', '34A08, 26A33, 34B15, 34N05']","[arxiv.Result.Author('Xing Hu'), arxiv.Result.Author('Yongkun Li')]","We first prove the equivalence of two definitions of Riemann-Liouville
fractional integral on time scales, then by the concept of fractional
derivative of Riemann-Liouville on time scales, we introduce fractional Sobolev
spaces, characterize them, define weak fractional derivatives, and show that
they coincide with the Riemann-Liouville ones on time scales. Next, we prove
equivalence of some norms in the introduced spaces and derive their
completeness, reflexivity, separability and some imbeddings. Finally, as an
application, by constructing an appropriate variational setting, using the
mountain pass theorem and the genus properties, the existence of weak solutions
for a class of Kirchhoff-type fractional p-Laplacian systems on time scales
with boundary condition is studied, and three results of the existence of weak
solutions for this problem is obtained.",0.41017997,0.08333216,0.07739921,A
4745,In this article we use Orponen’s result to further study sets with PBP.,"Their conjecture was recently solved in a breakthrough
work of Orponen [Orp21] (see Theorem 2.5 for the precise statement).","The main
novelty of our work stems from the fact that we do not assume our sets to be Ahlfors
regular.",2022-04-12 13:43:39+00:00,Analytic capacity and dimension of sets with plenty of big projections,math.CA,"['math.CA', 'math.MG', '28A75 (Primary) 28A80, 42B20 (Secondary)']","[arxiv.Result.Author('Damian Dąbrowski'), arxiv.Result.Author('Michele Villa')]","Our main result marks progress on an old conjecture of Vitushkin. We show
that a compact set in the plane with plenty of big projections (PBP) has
positive analytic capacity, along with a quantitative lower bound. A higher
dimensional counterpart is also proved for capacities related to the Riesz
kernel, including the Lipschitz harmonic capacity. The proof uses a
construction of a doubling Frostman measure on a lower content regular set,
which may be of independent interest. Our second main result is the Analyst's
Traveling Salesman Theorem for sets with plenty of big projections. As a
corollary, we obtain a lower bound for the Hausdorff dimension of uniformly
wiggly sets with PBP. The second corollary is an estimate for the capacities of
subsets of sets with PBP, in the spirit of the quantitative solution to
Denjoy's conjecture.",-0.23886514,-0.0156018995,0.15960544,C
5131,"For further research about Bakry-E´mery curvature on
ﬁnite graphs, see [BCLL17, CLY14, CKK+21, CKL+19, CKPWM20, FL22, FS18, HL19, KMY21,
LMP18, LMP17, LMPR19, LP18, Ma13, Man15, Mu¨n18, Mu¨n19, MR20, PES+16, Rob19, Sal21b,

Sal21a, SY20].","The curvature was then reintroduced several times in the set-
ting of graphs, see [Elw91, Sch99, LY10].",Deﬁnition 1.1 (Bakry-E´mery curvature).,2022-04-21 12:52:48+00:00,Bakry-Émery curvature sharpness and curvature flow in finite weighted graphs. I. Theory,math.CA,"['math.CA', 'math.CO', 'math.DG', 'math.PR', '05C21, 05C50, 51K10, 53C21, 53E20']","[arxiv.Result.Author('David Cushing'), arxiv.Result.Author('Supanat Kamtue'), arxiv.Result.Author('Shiping Liu'), arxiv.Result.Author('Florentin Münch'), arxiv.Result.Author('Norbert Peyerimhoff'), arxiv.Result.Author('Hugo Benedict Snodgrass')]","In this sequence of two papers, we introduce a curvature flow on (mixed)
weighted graphs which is based on the Bakry-\'Emery calculus. The flow is
described via a time-continuous evolution through the weighting schemes. By
adapting this flow to preserve the Markovian property, its limits turn out to
be curvature sharp. Our aim is to present the flow in the most general case of
not necessarily reversible random walks allowing laziness, including vanishing
transition probabilities along some edges (""degenerate"" edges). This approach
requires to extend all concepts (in particular, the Bakry-\'Emery curvature
related notions) to this general case and it leads to a distinction between the
underlying topology (a mixed combinatorial graph) and the weighting scheme
(given by transition rates). We present various results about curvature sharp
vertices and weighted graphs as well as some fundamental properties of this new
curvature flow. This paper is accompanied by a second paper discussing the
curvature flow implementation in Python for practical use. In this second paper
we present examples and exhibit further properties of the flow.",-0.20129389,0.81071115,0.33378434,B
5132,"For further research about Bakry-E´mery curvature on
ﬁnite graphs, see [BCLL17, CLY14, CKK+21, CKL+22b, CKPWM20, FL22, FS18, HL19, KMY21,
LMP18, LMP, LMPR19, LP18, Ma13, Man15, Mu¨n18, Mu¨n19, MR20, PES+16, Rob19, Sal21b,
Sal21a, SY20].","The curvature was then reintroduced several times in the set-
ting of graphs, see [Elw91, Sch99, LY10].",Deﬁnition 1.1 (Bakry-E´mery curvature).,2022-04-21 12:52:48+00:00,Bakry-Émery curvature sharpness and curvature flow in finite weighted graphs. I. Theory,math.CA,"['math.CA', 'math.CO', 'math.DG', 'math.PR', '05C21, 05C50, 51K10, 53C21, 53E20']","[arxiv.Result.Author('David Cushing'), arxiv.Result.Author('Supanat Kamtue'), arxiv.Result.Author('Shiping Liu'), arxiv.Result.Author('Florentin Münch'), arxiv.Result.Author('Norbert Peyerimhoff'), arxiv.Result.Author('Hugo Benedict Snodgrass')]","In this sequence of two papers, we introduce a curvature flow on (mixed)
weighted graphs which is based on the Bakry-\'Emery calculus. The flow is
described via a time-continuous evolution through the weighting schemes. By
adapting this flow to preserve the Markovian property, its limits turn out to
be curvature sharp. Our aim is to present the flow in the most general case of
not necessarily reversible random walks allowing laziness, including vanishing
transition probabilities along some edges (""degenerate"" edges). This approach
requires to extend all concepts (in particular, the Bakry-\'Emery curvature
related notions) to this general case and it leads to a distinction between the
underlying topology (a mixed combinatorial graph) and the weighting scheme
(given by transition rates). We present various results about curvature sharp
vertices and weighted graphs as well as some fundamental properties of this new
curvature flow. This paper is accompanied by a second paper discussing the
curvature flow implementation in Python for practical use. In this second paper
we present examples and exhibit further properties of the flow.",-0.20281848,0.8127908,0.3350967,B
5634,"In the further study of the above problem, the Newton-Maclaurin type inequalities

for the operators derived from the left-hand side of the equations are always needed.","l=0

Recently, Liu and Ren [16] discussed the Pogorelov-type C2 estimates for (k − 1)-convex
and k-convex solutions of the following Sum Hessian equations

   σk(λ(uij)) + ασk−1(λ(uij )) = f (x, u, ∇u),

and established a rigidity theorem when the right-hand side of the equation is constant.","A
            GENERALIZATION OF NEWTON-MACLAURIN’S INEQUALITIES                                3

natural question is that whether the Newton-Maclaurin type inequalities for the operators
of linear combinations of these primary symmetric functions still hold?",2022-04-29 10:24:46+00:00,A generalization of Newton-Maclaurin's inequalities,math.CA,"['math.CA', '26D05, 26D15']",[arxiv.Result.Author('Changyu Ren')],"In this paper, we prove Newton-Maclaurin type inequalities for functions
obtained by linear combination of two neighboring primary symmetry functions,
which is a generalization of the classical Newton-Maclaurin inequality.",-0.18227941,0.13540262,-0.32417157,B
6194,"We believe that the general case can be established using an
appropriate inductive argument, but we leave it as an open question for further research.","In the following proposition, we verify this assertion
in the particular case of m = 2.",Proposition 5.2.,2022-05-15 02:21:30+00:00,"Dingle's final main rule, Berry's transition, and Howls' conjecture",math.CA,"['math.CA', '41A60, 41A80, 33B15']",[arxiv.Result.Author('Gergő Nemes')],"The Stokes phenomenon is the apparent discontinuous change in the form of the
asymptotic expansion of a function across certain rays in the complex plane,
known as Stokes lines, as additional expansions, pre-factored by exponentially
small terms, appear in its representation. It was first observed by G. G.
Stokes while studying the asymptotic behaviour of the Airy function. R. B.
Dingle proposed a set of rules for locating Stokes lines and continuing
asymptotic expansions across them. Included among these rules is the ""final
main rule"" stating that half the discontinuity in form occurs on reaching the
Stokes line, and half on leaving it the other side. M. V. Berry demonstrated
that, if an asymptotic expansion is terminated just before its numerically
least term, the transition between two different asymptotic forms across a
Stokes line is effected smoothly and not discontinuously as in the conventional
interpretation of the Stokes phenomenon. On a Stokes line, in accordance with
Dingle's final main rule, Berry's law predicts a multiplier of $\frac{1}{2}$
for the emerging small exponentials. In this paper, we consider two closely
related asymptotic expansions in which the multipliers of exponentially small
contributions may no longer obey Dingle's rule: their values can differ from
$\frac{1}{2}$ on a Stokes line and can be non-zero only on the line itself.
This unusual behaviour of the multipliers is a result of a sequence of
higher-order Stokes phenomena. We show that these phenomena are rapid but
smooth transitions in the remainder terms of a series of optimally truncated
hyperasymptotic re-expansions. To this end, we verify a conjecture due to C. J.
Howls.",-0.2759876,-0.32058698,0.024515532,C
6689,"As a further study, the function f1,0,−1 is LCM
on (−1 , ∞) [13, Theorem 1] and f1,0,+1 is geometrically convex on (0 , ∞) [14, Theorem 1] .","In addition, it is also proved that
f1,1−γ,−1 is decreasing on (1 , ∞), see [12] .","Moreover, the conditions for f1,c,±1 to be LCM on (0 , ∞) are shown [13, Theorem 3, Theorem
4].",2022-05-25 06:49:33+00:00,"Monotonicity, convexity, and inequalities for functions involving gamma function",math.CA,"['math.CA', '33E50 (33E20)']","[arxiv.Result.Author('Peipei Du'), arxiv.Result.Author('Gendi Wang')]","In this paper, we study some properties such as the monotonicity,
logarithmically complete monotonicity, logarithmic convexity, and geometric
convexity, of the combinations of gamma function and power function. The
results we obtain generalize some related known results for parameters with
specific values.",-0.29074043,0.18061368,-0.34753832,B_centroid
